1: 40220000 , CELLO PAK, "BAMBOO SKEWERS 10""""" 
15730: 40255729 , 150g, Muller crunch! corner vanilla choco balls 
15731: 830195730 , 60 ct, Sunkist Vitamin C Citrus Complex 500 Mg Tablets 
15732: 8236385731 , , 375309 1/4X2-1/4 RAWL TAPPERS 
15733: 4000055732 , , M&M Candy 
15734: 8100000357 , 0.33 OZ, CG NP MIDNIGHT MAUVE 
15735: 8236035445 , , FP-FLT WASHER USS3/1 
15736: 8236684919 , 50 ct, Black Phosphate Drywall Screws 
15737: 8010000607 , , REV MNDRP MSTLIP 
15738: 8274333336 , 4pk, Reeds Premium Ginger Brew 
15739: 8346206902 , 6 ct, SLMFST OPTIMA RTD SHKE VANILL 4.00 OZ 
15740: 8346207275 , 8 ct, SF OPT. COOKIE BAR PNUT/B 6.00 OZ 
15741: 8236181340 , , Hillman 6 Count Picture Hangers 
15742: 1115741 , , sainbury's Blue File 
15743: 8033030117 , , "Seattle/Keystone/Sterling Mirror in Espresso Finish 
15744: 8112301343 , , traditions 12 piece porcelain nativity set 
15745: 7954161344 , , B/B BEADS 
15746: 50135745 , 16 tablets, Hedex 
15747: 1241895745 , , paper 
15748: 7965602058 , 32 oz, BB ALOE VERA BDY LTN MX PK BNS 
15749: 8068604512 , 1.75 Liter, Wolfschmidt 
15750: 46855749 , "6""""", WED CAKE TIER CARROT 
15751: 152815750 , EACH, FULMONT CHILDREN BOOK 
15752: 97535751 , EACH, INNOVO GP APRON MENS/WOMENS 
15753: 8132002756 , Each, Paperback Book 
15754: 12815753 , EACH, AMBASSADOR PARTY EXPRESS 
15755: 2454315754 , , alien vs. predator 
15756: 8236385755 , , 375311 1/4X3-1/4 RAWL TAPPERS 
15757: 8236695755 , 30 lb 14kG, "Hillman Brass Finish Picture Hanger 
15758: 998575757 , Hairy And Good, Dan Shlossman Pubes 
15759: 2035758 , LB, SMOKED PICNIC HALVES 
15760: 8236471403 , "6""", Black Plastic #4 
15761: 8236074604 , 5/16-18 x 1 1/2 qty 100, Hillman Hex Bolts Coarse Thread Steel 
15762: 7940050720 , , Dove Deodorant 
15763: 8236385762 , , 375312 1/4X3-3/4 RAWL TAPPERS 
15764: 200055763 , 1 ct, L.H. SOCIAL STUDIED FLASH 
15765: 8100000388 , 0.33 OZ, CG NP VALENTINE RED 
15766: 7195015765 , 1 ct, SAFEWAY 25 METROMEDIA 10 CT 1.00 CT 
15767: 12855766 , 10.5 O, NABISCO ARROWROOT BISCUITS 
15768: 8100000142 , 6 oz, Starkist Solid White Albacore Tuna in spring water 
15769: 8346030439 , 4 ct, SF CLASSIC RTD STRAWBERRY 6.00 CT 
15770: 8078002773 , 13 OZ, PANTENE PRO V SHAMPOO NORMAL 
15771: 7226195770 , 1 ct, ZAK S BOB BUDDY SIP 
15772: 55135771 , 2.9 OZ, W LEMON FILLED S BISMARK RP 
15773: 3800235771 , CT, KELLG LILO & NEMO DI 
15774: 7195015772 , 1 ct, SAFEWAY 50 MTRMEDIS  GC  10CT 1.00 CT 
15775: 40255774 , 150g, Muller crunch! corner banana choco flakes 
15776: 8236682779 , 1/4-20x3/4, round combo zinc screw 
15777: 7880408551 , 34.98 OZ, *SH PIZZA SUPR. SELF RISING 
15778: 7832935777 , , The McConell Story DVD 
15779: 8040080402 , 12 ct, I/O WRIG HOL STRPE BUBL TAPE 7.00 CT 
15780: 8236375770 , 50 ft., Hillman 20/4 Steel Wire Connected 
15781: 7502150004 , , joe jackson body and soul 
15782: 8001830305 , , RIT SLATE BLUE 
15783: 8024404118 , 1.75 L, Don Q Gold Rum 
15784: 40615783 , 10X8X2, POLY BAGS 
15785: 8346015528 , 24 ct, *SHPR SLIM FAST 25PC/PWR WING 
15786: 8040180409 , 7.00 CT, I/O WRIG HOL STRPE BUBL TAPE 
15787: 96435786 , 4 oz, SANTA CRUZ LOW SALT SLDEATOS 
15788: 4532615787 , , Karen Drucker:  One of a Kind Love 
15789: 8095821388 , , UMBRELLA 
15790: 8132007508 , 1 ct, PAPERBACK BOOK 
15791: 8346145386 , 4 ct, SLM FST LOW CARB RTD CHC ROYA 
15792: 8307150015 , 1 LB, Alliant Blue Dot  Smokeless powder 
15793: 8236582567 , , 47702 10X1-1/2 TAP N SEAL 
15794: 8078002797 , 13 Z, PANTENE PRO V SHAMPOO PRM/CLR 
15795: 55075794 , 12 ct, TWIST DONUT-C 
15796: 8141300911 , , Merriam-Webster Dictionary 
15797: 7880148907 , 5 lb, SH WILD BIRD SEED 
15798: 8295614353 , , DENIGR BALSMC VNGR 
15799: 7911800422 , 22-inch, RAIN-X  Wiper Blade 
15800: 8078002803 , 13 Z, PANTENE PRO V X BODY SHAMPOO 
15801: 251475800 , , 47580 1-5/8X6 17GA LINE POST 
15802: 6132835800 , 9 roll pack, White Cloud toilet tissue 
15803: 8132003258 , Each, Paperback Book 
15804: 8174070027 , 8.5 x 11, 2007 Fuel Finder - a truck stop directory (800-338-6317) 
15805: 8236695779 , 8 pcs., Brass Finish Picture Hangers 
15806: 8346015801 , 6 ct, *USF PEANUTBTTR CRUNCH BAR   * 
15807: 6200015806 , , JJ ORIGINAL 
15808: 7880145807 , 8 oz, BILO THIN SPAGHETTI 
15809: 40215808 , 16 oz, LIVER CUPS PRINTED 
15810: 8421043040 , , "The Beanie Babies Collection ""Runner""" 
15811: 7447022121 , , SEARCH & 
15812: 2015811 , LB, BEEF FLANK STEAK 
15813: 62895811 , 1 KIT, BC 1CX207 SCOOBY DOO & SHAG KT 
15814: 7660425204 , 100 ct, CITRUCEL CAPLETS 
15815: 7880145814 , 8 oz, SH REG. SPAGHETTI 
15816: 8346645411 , 11.50 OZ, SLIM FAST VANILLA CREAM RTD 
15817: 8236695816 , 10 lb 4.5 kG, "Hillman Brass Finish Picture Hanger 
15818: 7391029733 , 14 CT, WILHOLD BARRETTE KIDDIE 
15819: 417715818 , 15 sheets, KODAK Inkjet Photo Paper 
15820: 8236385618 , , 375297 1/4X3-1/4 RAWL TAPPERS 
15821: 8069030044 , , 30X80 PRE HUNG DOOR WITH JAMB 
15822: 45035821 , 10ml, Tamiya Color Acrylic Paint Mini / Metallic Grey XF-56 
15823: 8206101422 , CD, SERAH: Late Harvest 
15824: 7693041662 , , bratz girl talk game 
15825: 46855824 , "8""""", WED CAKE TIER CARROT 
15826: 2107195825 , , BEAN SPROUT 
15827: 8132006990 , Each, Knightsbridge Paperback 
15828: 8069030051 , , 30X80 PRE HUNG DOOR WITH JAMB 
15829: 2015828 , LB, FLANK STEAK TENDERIZED 
15830: 40255828 , 200g, Muller Rice - Custard 
15831: 810875829 , 4 oz, Sudafed Children's Cold & Cough Medicine Non-Drowsy Cherry-Berry Flavor 
15832: 8033012915 , 31 X 19, Vanity Top 
15833: 7811345016 , , VIT. 
15834: 7323115824 , , MUSCLAEMAN A.S. 
15835: 8100001910 , 0.37 FL OZ, Cover Girl Boundless Color Nails Razzle 
15836: 8100000210 , 0.33 OZ, CG NP WEDDING WHT 
15837: 55335836 , .5 OZ, CREAMER LIQ. FRENCH VANILLA 
15838: 8236681437 , QTY 5, "Screws Phillips 10 x 2"" Pan Combo Zinc Hillman#491178" 
15839: 8236580709 , 1/4 fl oz tube, Hillman Lock De-icer 
15840: 7880702383 , 128.00 OZ, SH CHOC MILK(CHATT) 
15841: 8236780215 , 20 PIECES, WALLDOG SCREW & ANCHOR IN ONE! 
15842: 450295841 , 48 ct, *IMODIUM A-D CAPLETS 
15843: 8346041442 , 3 ct, *SLIMFAST CAPPUCCINO DELITE 8 88.00 OZ 
15844: 7154255843 , 1 lb, JUMBO KING CRAB 14/17 
15845: 2998635844 , , computer desk 
15846: 8236583076 , "12 x 2""", "wood screws 
15847: 8100000470 , 0.33 OZ, CG NP GOLD MINE 
15848: 42115847 , 500ml, Diet Coke Lemon 
15849: 8236695823 , 4 pcs., Plastic Mirror Holders w/ Screws 
15850: 8236055849 , 4x3/8 - 100 Qty, Sheet Metal Screws 
15851: 7154255850 , 32 oz, STEAMED CRAB CLAWS           * 
15852: 8346207930 , 8.00 EA, SM FST PB GRANOLA BARS 
15853: 8100000227 , 0.33 OZ, CG NP WHITE WHIRL 
15854: 7480821453 , , X-FACTOR 
15855: 8346315413 , , SLIM FAST 
15856: 7874222859 , 24oz, Great Value Cherry Drick Mix 
15857: 55135856 , 2.7 OZ, W RASPBERRY FILLED S BISMAK RP 
15858: 7976503313 , 33.8 fl oz, Crystal Springs Mountain Spring Water 
15859: 1810315858 , , Staples Generic Paper 
15860: 39055859 , 750 ml, SIENA CHIANTI CL RISERVA MACCH 
15861: 8100001699 , 0.37 FL OZ, Cover Girl Boundless Color Topcoat Ruby Dust 
15862: 96435861 , 4 oz, SANTA CRUZ GRLC/PARM SLDEATOS 
15863: 8236471373 , "6""", Black Plastic #1 
15864: 8346015863 , 6 ct, USF PEANUT CARAMEL CRUNCH BAR 
15865: 8138010823 , , Smart Travels EUROPE with Rudy Maxa 
15866: 450295865 , 1 ct, *IMDIUM AD 18+6CT BNS PACK 
15867: 8100000241 , 0.33 OZ, CG NP BLSH IN IVRY 
15868: 7880307946 , 32 oz, SH EGG NOG-LIGHT             * 
15869: 40615868 , 6X10 3, WAX INTERFOLD 
15870: 7880702413 , 32 oz, BI WHL CHOC MILK-CHAT 
15871: 8100000494 , 0.33 OZ, CG NP MAUVELOUS 
15872: 8346055807 , 8 each, Ultra Slim-Fast Nutritional Snack Bars Peanut Butter Crunch 1 Oz 
15873: 8346999996 , 1 ct, *SHPR SLIMFAST BAR 144 CT 
15874: 2015873 , LB, CUBED FINGER STEAK 
15875: 64015873 , , Marlboro / Valkoinen 
15876: 50755875 , 50 ml, Kiwi Parade Gloss dark tan (premium shoe polish) 
15877: 7880702420 , 32.00 FO, SH FF BTRMILK-CHATT 
15878: 6186000001 , #10, OLIVES SLICED RIPE-LILY 
15879: 8274555554 , 4pk, Reeds Raspberry Ginger Brew 
15880: 55075879 , EACH, TWIST DONUT-B 
15881: 7880003336 , 6 ct, SH ALA 6PK ORANGE DRINK 
15882: 5875060005 , , "Twilight Zone Collector's Edition (The Whole Truth 
15883: 7960200006 , EA, First for Women Magazine 
15884: 7912002658 , 1 ct, KFC CARTON WEDGE LG 23811 
15885: 8175100259 , , D32WCW TRACKLESS SHOWER DOOR 
15886: 8346209644 , 8.00 CT, SPEC SF OPT.MEAL BAR 6+2FR BP 
15887: 8073071125 , 1 ct, *PALM CROSS 
15888: 732155887 , DVD, Topless Dancer World Championship 
15889: 830235887 , 24 ct, Doan's Pain Reliever Analgesic Extra Strength Caplets 
15890: 6010115888 , 26 Oz, Barilla Pasta Sauce Mushroom & Garlic 
15891: 8100000265 , 0.33 OZ, CG NP ROSE QUARTZ 
15892: 46015891 , "7 1/2""""", CHEESECAKE W/ FRESH FRUIT 
15893: 7121475892 , 8 ct, FAYGO 60/40 GRPFRT/LM SDA 67.60 FO 
15894: 8100000517 , 0.33 OZ, CG NP SATIN MAUVE 
15895: 80715894 , 70 g, Vivident Xylit Fruit Juice Gum 
15896: 2035895 , LB, SMOKED HOCKS 
15897: 3195895 , 9 CT, 90/WLSLYFRM BTR 1/4  9-4/1LB 4.00 LB 
15898: 4554455897 , , BARN DISPLAY 
15899: 14435898 , 32 oz, TECATE BOTTLE BEER 
15900: 26035895 , 125 g, Coverna Choco Duo 
15901: 7095900 , 3 ct, NOO ROMAINE HEARTS - BAG 
15902: 2035901 , LB, SMOKED HOCKS 
15903: 97015901 , EACH, AMBASSADOR STATIONERY 
15904: 830235894 , 48 ct, Doan's Pain Reliever Analgesic Extra Strength Caplets 
15905: 768195895 , cd, United Live Best Friend cd split trax 
15906: 990615901 , 15.50 OZ, AURORA NUT/HONEY GRAN 
15907: 2763075905 , 6 oz, SUNSWEET APRICOT SNACK PACK 
15908: 3700035907 , , Prilosec OTC Tablets 
15909: 1215908 , 20 oz (591 mL), Aquafina bottled water 
15910: 46855909 , "10""""", WED CAKE TIER CARROT 
15911: 1955910 , 10.00 EA, LOZIER SHELF EXTNDERS 
15912: 55335911 , .5 OZ, CREAMER LIQ. HAZELNUT 
15913: 8346045303 , 5x1.76oz (50g), Slim-Fast Meal Bars (5 pack); chocolate peanut butter 
15914: 3950455913 , , CAMPHOR 
15915: 8236684889 , QTY: 100, Screws Phillips Drywall Black Phosphate 6 x 1-1/4 Hillman# 35034 
15916: 7959441991 , 1 ct, BILO PHARM BAG 41994 500.00 CT 
15917: 8236055900 , "6 x 1/2""", pan head sheet metal screw 
15918: 732155917 , DVD, Channel Island Girls 
15919: 94975918 , 60 Tablets, Healtheries of New Zealand Easy Sleep Dietart Supplement 
15920: 8132004255 , Each, Paperback Book 
15921: 7195015895 , 1 ct, 50 REGIS GC 10CT 1.00 CT 
15922: 8346206896 , 6 ct, *SLMFST OPTIMA RTD SHKE CHOC 4.00 FO 
15923: 8508171697 , , charger 
15924: 251475923 , , 47592 1-5/8X7 17GA LINE POST 
15925: 732155924 , DVD, Jenna Jameson Escapades (Old Version) 
15926: 4850015924 , 33.80 OZ, JUICE TROP PURE MANGO 
15927: 7880001042 , 16 oz, SH ANGEL HAIR PASTA 
15928: 7960200051 , , SOAPS IN DEPTH 
15929: 7972000052 , 100 ct, NW Catnip Capsules 
15930: 8346033904 , 1    SH, #SF HP/LS MEAL BR PW/FS 
15931: 8236123609 , 1.75 oz, Wire Nails 1 1/4 x 16 
15932: 55135931 , 2.8 OZ, W CUSTARD FILLED S BISMARK RP 
15933: 990615932 , 15.50 OZ, *AURORA RASP/CREAM GRAN 
15934: 7536050004 , CASE, BAGS FOR COFFEE 
15935: 39055934 , 750 ml, SIENA CLASSICO MACCHIAVELLI 
15936: 7693041051 , , Candy Land board game 
15937: 14975936 , EACH, MGD LDIES DOT CTTN GLVS 
15938: 7195015888 , 1 ct, SAFEWAY 25 REGIS GC 10CT 1.00 CT 
15939: 8346069538 , 6 Bars, Chewy Granola Mixed Berry 
15940: 7880405123 , 64 oz, SH/BL PREM IC BLK CHERRY 
15941: 8236708196 , 1/4 x .140 x 1/4, Nylon Spacers 
15942: 8137009217 , 50 yds, J & J Dental Floss 
15943: 8142290013 , .35 ounces, National Embarrassmints 
15944: 7677000067 , , music cd 
15945: 8100000319 , 0.33 OZ, CG NP POWERRINK 
15946: 8307210016 , 1 lb., Alliant 2400 Smokeless Powder 
15947: 14875946 , 298 PC, BRTN HLLWN TOY NOVELTY DSP 
15948: 8274224498 , 48 FL, BORGNINE'S SODA COFF 4 PK 
15949: 7880303627 , 15 oz, SH LOW FAT RICOTTA 
15950: 378275949 , , Nokia 6101 6102 Kit 
15951: 8132002954 , Each, Paperback Book 
15952: 55315951 , LBS, GINGER POWDER 
15953: 152715951 , EACH, COMPUTER SOFTWARE 15.95 
15954: 152315953 , EACH, HARDCOVER BOOK 15.95 
15955: 55075954 , EACH, "MUFFIN 
15956: 152615954 , EACH, FULMONT AUDIO 15.95 
15957: 7760000080 , 67.6 oz, Welch Grape Soda Nr 
15958: 152515957 , EACH, TRADE BOOKS 15.95 
15959: 152815958 , EACH, FULMONT CHILD BOOK 
15960: 46975959 , 12 ct, MUFFINS MAXPAK BLUEBERRY 
15961: 7661440084 , 8.00 CT, *SHPR STOP SMOKING COUNTER UN 
15962: 50575961 , 12x100g, Organic Desserts Banana & - Disc Slow Seller 
15963: 732155962 , DVD, Babe Watch: Sex Kittens 
15964: 7195015963 , 1 ct, 25 TRUMP GC 10CT 1.00 CT 
15965: 8048955948 , , BARCARDI BREEZER 
15966: 8077068909 , 5 lb, TEMPTABLES PANCAKE MIX 
15967: 518515966 , , HP Keyboard Model: 5181 
15968: 8346030491 , 4 ct, SF RTD MILK CHOCOLATE 6.00 CT 
15969: 1564555968 , , Healing with Great Music 
15970: 8236043648 , "6x2,  qty 100" 
15971: 3195970 , 12 ct, *90/B&J BTR SOLIDS 12/3LB 3.00 LB 
15972: 7195015970 , 1 ct, SAFEWAY 50 TRUMP CG 10CT 1.00 CT 
15973: 7907000096 , , NONFOOD 
15974: 8236186369 , , 41574 1/4X2-3/4 RAWL TAPPERS 
15975: 8196004093 , , sudafed nightime 
15976: 8236709414 , 1/4/20, Hillman Wood Insert Nuts - Brass 
15977: 8119900600 , , OAK HILL 
15978: 8444248408 , , A276MVDS avia men's running shoes 
15979: 8236042054 , 8 x 1/2 100 pcs., Wood Screws 
15980: 98875979 , 3.5 OZ, NOAHS BAGEL BLUEBERRY 
15981: 8381955964 , 750 ml, SIERRA VISTA ESTATE ZINFANDEL 
15982: 13055981 , , Garden Arbor with Seat 
15983: 8236709421 , 5/16/18, "Wood Insert Nuts 
15984: 8132004958 , Each, Paperback Book 
15985: 97355984 , EACH, AMBASSADOR CHRISTMAS DECORATIO 
15986: 8339574049 , 1 ct,  FOG CAULDRIN W/STROBE 
15987: 4000115986 , 11 oz, 20CS MOD M&M'S MINI ASST 
15988: 2035987 , LB, BRYAN CENTER HALF HAM 
15989: 7195015987 , 1 ct, SAFEWAY 50 AMRICN ARLNE 10CT 1.00 CT 
15990: 8346022533 , 8.26 OZ, *SLIMFST CRMYPOTATOSP CHDDRCH 
15991: 1525315990 , VHS, Get To Know Bernard Most 
15992: 152315991 , EACH, HARDCOVER BOOK 15.99 
15993: 93215992 , 2L, Moove Strawberry Milk 
15994: 87295993 , , Cigarettes Winfield Box 
15995: 15075994 , ONEPAI, ATLS JRSY SHT QN CELERY 
15996: 152515995 , EACH, TRADE BOOKS 15.99 
15997: 2015996 , LB, BEEF SHORT RIBS 
15998: 152815996 , EACH, FULMONT CHILD BOOK 
15999: 152415998 , EACH, BARGAIN BOOKS 15.99 
16000: 152715999 , EACH, COMPUTER SOFTWARE 15.99 
16001: 22976000 , , Extra Peppermint 
16002: 33936000 , GAL, PEPPERONCINI-GOLDEN GREEK 
16003: 46896001 , 16 oz, *** POCKETBREAD MANHATTAN ASST 
16004: 78256002 , 12 Ounces, Diet A&W root beer 
16005: 50696000 , , nestles cookies 
16006: 91276001 , 2 oz, Garlic Bread Seasoning 
16007: 152616005 , EACH, FULMONT AUDIO 16.00 
16008: 3196007 , 12 ct, *90/B&J BTR UNSLTD QTRS 12/3L 3.00 LB 
16009: 152316004 , EACH, HARDCOVER BOOK 16.00 
16010: 2016009 , LB, EXTRA LEAN SHORT RIBS 
16011: 152816009 , EACH, FULMONT CHILD BOOK 
16012: 152716002 , EACH, COMPUTER SOFTWARE 16.00 
16013: 133136003 , 120 ml, Acme Pharmacy Promethazine with Codein 
16014: 55136013 , 2.7 OZ, W PREMIUM BAR RP 
16015: 2036014 , LB, HORMEL SMOKED PORK LOINS 
16016: 100656015 , 35.00 LB, PUR       PHILLY STICKY BUN 
16017: 2016016 , LB, VALUE PACK SHORT RIBS 
16018: 152516008 , EACH, TRADE BOOKS 16.00 
16019: 634695993 , CD, Hunt Music 
16020: 1005716019 , CDROM, AVID TECHNOLOGY  Avid Xpress DV 3.5 Powerpack (Windows/Mac) 
16021: 870456020 , 100 ct, Poly-Vi-Sol Multivitamin W/Iron Chewable Tablets 
16022: 990616021 , 15.50 OZ, AURORA VANILLA GRANOLA 
16023: 732156006 , DVD, LaToya Jackson's Interactive Exotic Club Tour: Best Of LaToya 
16024: 1811156023 , , rodrigo 
16025: 8421040148 , 1 ct, "TY Beanie Baby ""Ringo""" 
16026: 5213556009 , 0.5 Oz, Pond's Eye Cream Age Defying W/Spf 8 
16027: 4473636001 , , 10 in 1game 
16028: 3400456002 , 8 ct, *BABY SEEDLESS CUKES 14.00 OZ 
16029: 152615992 , EACH, FULMONT AUDIO 15.99 
16030: 2278616013 , , knob 
16031: 5214276005 , 11 Oz, Vaseline Intensive Care Lotion Advanced Healing 
16032: 1111156006 , , Snuggle Fabric Softner 
16033: 4549696007 , , Super Smash Bros Melee NGC 
16034: 4847275997 , , MANAGER 
16035: 8236722345 , 5pc pack, 12X1-1/2 Self Drill Screws - Stainless HWW 
16036: 7111716035 , , POTATO EXPRESS 
16037: 7154256000 , 1 lb, WD 16/25 SHRIMP       US 
16038: 4696056037 , 3.5 oz, GENUARDIS 19CT COFFEE SINGLES 
16039: 4549696038 , , Mario Party 4 
16040: 2521016003 , 1 ct, APT CASTL MLDPAILSH 
16041: 8236713015 , , 8-32 x 5/16 Socket Head Set Screws 
16042: 5216016005 , 3 ct, Dove Cleansing Cloths Daily Hydrating 
16043: 4676016006 , EACH, CHILD BOOK 
16044: 251476043 , , 47604 1-5/8X8 17GA LINE POST 
16045: 7111716028 , , POTATO EXPRESS 
16046: 2036045 , LB, BRYAN SMOKED PORK CHOPS 
16047: 8068616010 , , vodka 
16048: 8346224166 , 6 ct, SLM FST ESY TO DGST VANL 44.00 CT 
16049: 12076048 , 3/80 C, OTB SCOTT 3PK TWL LBR SVR SHPR 
16050: 54036048 , 27x20cl, Orange Juice - Disc By Supplier 
16051: 430536049 , 4 oz, Triaminic Cold & Cough Medicine Cherry 
16052: 732156051 , DVD, Coed Vacation Fantasy 
16053: 2036052 , LB, MORRELL SMK PORK CHOPS 
16054: 7464096044 , cassette, "DYLAN 
16055: 7070056050 , , ICE 
16056: 8033063955 , , 928985 
16057: 7200735992 , 1 ct, *  CAKEMATE DECOR BOOK 25S   * 
16058: 8100000432 , 0.33 OZ, CG NP ROUGE VAMPL 
16059: 87156058 , Bottle 0.5 L, Source Mineral Water 
16060: 8180600683 , , Martha Stewart Everyday Baby Crib Set 
16061: 8236385656 , , 375301 3/16X1-3/4 RAWL TAPPERS 
16062: 5214276012 , , VIC LOTION 
16063: 8346015221 , 8 - 1.2oz bars, Breakfast & Lunch Bars 
16064: 5363756014 , , RUGBY 
16065: 7665016063 , no idea!, Tagamet 
16066: 8236713664 , , "1/2"" Extension Threaded Post Aluminum" 
16067: 8274236057 , 12 oz, REED'S GINGER-BREW-ORIG. 4PK 
16068: 4730016003 , , CRUMPETS 
16069: 8236495843 , , White Finish Swag Hook 
16070: 1152116069 , , HIDDEN RICHES 
16071: 8421041909 , , "Beanie Baby ""Early"" Red Breasted Robin" 
16072: 1821576071 , , CAL VITAMINS 
16073: 8236186468 , , 41560 1/4X1-3/4 RAWL TAPPERS 
16074: 7464441912 , CD, Leonard Cohen- I'm Your Fan 
16075: 80656074 , 29 g, AIR Action Vigorsol Perfetti Melle Chewing gum 
16076: 12016075 , 3.80 LB, MURRAYS CHKN WHOLE BAG 
16077: 732156075 , DVD, Tropical Exotica Dvd Unrated Uncut All Region NTSC 4 hours 
16078: 8346267613 , 1.00 SH, SLIM FAST OPTIMA RTD SHIPPER 
16079: 2016078 , LB, SKIRT STEAK FAJITAS 
16080: 8236186475 , , 41561 1/4X2-1/4 RAWL TAPPERS 
16081: 7874243311 , 16 oz., Great Value Carpet Cleaner 
16082: 46856081 , "12""""", WED CAKE TIER CARROT 
16083: 732156082 , DVD, Daytona Bike Blast Babes 
16084: 990616083 , 15.50 OZ, AURORA VAN CRAN CRUNCH 
16085: 5216416003 , 4.5 Oz, Vaseline Petroleum Jelly Cream Creamy Formula 
16086: 2016085 , LB, FAJITAS VALUE PACK 
16087: 7880307250 , 0.50 CT, SH FAT FREE BUTTERMILK 
16088: 430536087 , 8 oz, Triaminic Cold & Cough Medicine Cherry 
16089: 77716088 , 2.0 liter, Coca Cola - One way - 2.0 l - Bolivia 
16090: 8236707625 , 2 ct, Hillman 5/16 x 3/4 x 1/6 rubber washers 
16091: 37616090 , 12.6 fl, joy/ anti bac/dish liq 
16092: 7878050007 , 12LB, GRILL BRICK-JIMMIES 
16093: 2016092 , LB, FAJITAS WHOLE CRY-O-VAK 
16094: 8346015993 , 144 CT, *SHPR SLIMFAST BAR 144 CT 1.00 CT 
16095: 7736094 , , large wooden stable 
16096: 8274216059 , 12 oz, REED'S CHERRY GINGER BREW 4PK 
16097: 7891071607 , 280 sheets, "Wilson Jones 1 1/2"" View Binder" 
16098: 8346107261 , 6 oz, SF OPT. COOKIE BAR OATML 
16099: 8346167449 , 11.00 FO, *SLMFST OPTIMA RTD CPPCCNO DL 
16100: 1274216074 , 1 ct, ASSORTED NAIL 
16101: 34536100 , 16x100g, Solano Fig Lavender Soap 
16102: 40236100 , RL 1000, S.S.  $.20 OFF LABEL 
16103: 2076102 , LB, SAND 1/2 ROAST BEEF WHT 
16104: 156103 , 547268|0|20|CD|4|35.98, CDMSIM 
16105: 2056104 , LB, BREWSTER SWISS CUBES 
16106: 83896101 , "16""L 1.5""D 6.5""W", Sizzix PaddlePunch Pouch 
16107: 732156105 , DVD, Girls Of Palm Beach 
16108: 8346015207 , 8 EA, Slim-Fast Breakfast & Lunch Bars Dutch Chocolate 1.2 Oz 
16109: 2016108 , LB, SKIRT STEAK TENDERIZED 
16110: 430556108 , 10 oz, Gas-X Antigas Extra Strength Peppermint Creme Liquid 
16111: 52016110 , , 1 packet of George Karelias & Sons Virginia tobacco cigarettes (Filter) 
16112: 2056111 , LB, BREWSTER FRMRS MINI WHEEL 
16113: 7880003343 , 6 ct, SH ALA 6PK GRAPE DRINK 
16114: 50316113 , 250ml, Scottish Pride UHT Single Cream 
16115: 1611016114 , 4000 CT, KFC PAN LINER BISCUIT 26613 1.00 CT 
16116: 2016115 , LB, PINWHEEL SKIRT STEAK 
16117: 670356100 , 10 ct, Maalox Anti-Gas Extra Strength Peppermint Tablets 
16118: 8346055333 , , SLIM FAST BARS 
16119: 8132001957 , Each, Paperback 
16120: 8500745094 , 6.00 LB, *MEDITERRANEAN VEGETABLE 
16121: 1839776104 , , """car cover""" 
16122: 7432476120 , , The Funny Thins Is... (Ellen DeGeneres) 
16123: 2016122 , LB, FAJITAS TEND VALUE PACK 
16124: 430476123 , 12 ct, Theraflu Severe Cold & Congestion Medicine Non-Drowsy Maximum Strength Coated Caplets 
16125: 34536124 , 16x100g, Solano Fleur d'Olivier Soap 
16126: 2605736100 , 16 oz, plastic storage box 
16127: 2076126 , LB, SAND 1/2 HAM & CHEESE WH 
16128: 430136126 , 12 ct, Theraflu Flu Cold & Cough Medicine Nighttime Formula Maximum Strength Coated Caplets 
16129: 2056128 , LB, BREWSTER HOT PEPPER CUBES 
16130: 8101316129 , 18/20, Just My Size Pants 
16131: 6414000001 , 2 LB., FROZEN CAJUN SHRIMP 
16132: 8374060002 , , "Cheers Collector's Edition (Coach Returns to Action 
16133: 6988600003 , 54.00 CT, SHPR 8CS FROST GUARD DISPC-DOT 
16134: 2076133 , LB, SAND 1/2 HAM & CHEESE WH 
16135: 509736134 , , Rizla Green 
16136: 2056135 , LB, BREWSTER CLBY JACK CUBES 
16137: 98876136 , 3.5 OZ, NOAHS BAGEL WHOLE WHEAT 
16138: 1952136137 , 17 oz, carapelli olive oil/mild 
16139: 55116138 , CASE, TELCO LOAF CAKE SGR FREE INVEN 
16140: 1914296138 , , IAMS CAT 3 OZ 
16141: 4522116140 , , FRUIT BOWL 
16142: 97356141 , EACH, AMBASSADOR CHRISTMAS DECORATIO 
16143: 2056142 , LB, BREWSTER COLBY CUBES 
16144: 7880000267 , 6 ct, SH ALA HAPPY DRINK VAR PK 
16145: 4696116144 , 5 oz, *GNDI MNZL SPNSH OLVS STFD PM* 
16146: 870616141 , 14 oz, Enfamil Lactofree Infant Formula Advanced Powder 
16147: 7201316145 , 33.80 OZ, SCOPE PEPPERMINT 1 LITR 
16148: 8077736143 , 500/96RM, KETCHUP PC 
16149: 7960000019 , 13.75 oz (390g), Trader Joe's Corn and Chile Tomato-Less Salsa 
16150: 8100000524 , 0.33 OZ, CG NP ELECTRIC BLUE 
16151: 732156150 , DVD, Babe Watch: Wild Women Of Prague 
16152: 3927116151 , , SOURDOUGH BAGELS 
16153: 8246144052 , , "The Boutique Collection - throw pillow ""Sisters are Special""" 
16154: 2016153 , LB, CRY-O-VAC WHOLE BRISKETS 
16155: 8346016150 , 15 Z, SFAST PWD CHOC MALT 
